,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
94,4IMPRINT GROUP PLC,UNCONFIRMED,80938105,FOUR,STK,LSE,GBP,,LSE,,,,4IMPRINT GROUP PLC,
95,4IMPRINT GROUP PLC,UNCONFIRMED,603516008,IMW,STK,FWB2,EUR,,FWB2,,,,4IMPRINT GROUP PLC,
96,ALPHABET INC,UNCONFIRMED,208813719,GOOGL,STK,NASDAQ,USD,,NASDAQ,,,,ALPHABET INC-CL A,
97,ALPHABET INC,UNCONFIRMED,208813720,GOOG,STK,NASDAQ,USD,,NASDAQ,,,,ALPHABET INC-CL C,
98,ALPHABET INC,UNCONFIRMED,208710587,ABEA,STK,IBIS,EUR,,IBIS,,,,ALPHABET INC-CL A,
99,ALPHABET INC,UNCONFIRMED,208914695,ABEC,STK,IBIS,EUR,,IBIS,,,,ALPHABET INC-CL C,
100,ALPHABET INC,UNCONFIRMED,210810660,GOOGL,STK,MEXI,MXN,,MEXI,,,,ALPHABET INC-CL A,
101,ALPHABET INC,UNCONFIRMED,210810667,GOOG,STK,MEXI,MXN,,MEXI,,,,ALPHABET INC-CL C,
102,ALPHABET INC,UNCONFIRMED,242506836,GOOGLUSD,STK,EBS,USD,,EBS,,,,ALPHABET INC-CL A,
103,ALPHABET INC,UNCONFIRMED,305691277,GOOGL,STK,EBS,CHF,,EBS,,,,ALPHABET INC-CL A,
104,ALPHABET INC,UNCONFIRMED,532638805,GOOG,STK,AEQLIT,CAD,,AEQLIT,,,,ALPHABET INC - CDR,
105,ALPHABET INC,UNCONFIRMED,-1,,BOND,,,,,,,,Alphabet Inc,e2948635
106,GREGGS PLC,UNCONFIRMED,60215826,GRG,STK,LSE,GBP,,LSE,,,,GREGGS PLC,
107,GREGGS PLC,UNCONFIRMED,603519357,41G1,STK,FWB2,EUR,,FWB2,,,,GREGGS PLC,
108,WW GRAINGER INC,UNCONFIRMED,7867,GWW,STK,NYSE,USD,,NYSE,,,,WW GRAINGER INC,
109,WW GRAINGER INC,UNCONFIRMED,80868398,GWW,STK,FWB,EUR,,FWB,,,,WW GRAINGER INC,
110,WW GRAINGER INC,UNCONFIRMED,454000848,GWW,STK,MEXI,MXN,,MEXI,,,,WW GRAINGER INC,
111,WW GRAINGER INC,UNCONFIRMED,-1,,BOND,,,,,,,,WW Grainger Inc,e1409100
112,HUBBELL INC,UNCONFIRMED,216386790,HUBB,STK,NYSE,USD,,NYSE,,,,HUBBELL INC,
113,HUBBELL INC,UNCONFIRMED,358917193,HUBB,STK,MEXI,MXN,,MEXI,,,,HUBBELL INC,
114,HUBBELL INC,UNCONFIRMED,603524282,HUEC,STK,FWB2,EUR,,FWB2,,,,HUBBELL INC,
115,HUBBELL INC,UNCONFIRMED,-1,,BOND,,,,,,,,Hubbell Inc,e1433909
116,HOWDEN JOINERY GROUP PLC,UNCONFIRMED,12605132,HWDN,STK,LSE,GBP,,LSE,,,,HOWDEN JOINERY GROUP PLC,
117,HOWDEN JOINERY GROUP PLC,UNCONFIRMED,603527212,10J,STK,FWB2,EUR,,FWB2,,,,HOWDEN JOINERY GROUP PLC,
118,INFICON HOLDING AG,UNCONFIRMED,13820355,IFCN,STK,EBS,CHF,,EBS,,,,INFICON HOLDING AG-REG,
119,INFICON HOLDING AG,UNCONFIRMED,80844415,IFZ,STK,FWB,EUR,,FWB,,,,INFICON HOLDING AG-REG,
120,INFINEON TECHNOLOGIES AG,UNCONFIRMED,7747731,IFX,STK,IBIS,EUR,,IBIS,,,,INFINEON TECHNOLOGIES AG,
121,INFINEON TECHNOLOGIES AG,UNCONFIRMED,255024738,IFXN,STK,MEXI,MXN,,MEXI,,,,INFINEON TECHNOLOGIES AG,
122,INFINEON TECHNOLOGIES AG,UNCONFIRMED,-1,,BOND,,,,,,,,Infineon Technologies AG,e1408912
123,3I GROUP PLC,UNCONFIRMED,54968662,TGOPY,STK,PINK,USD,,PINK,,,,3I GROUP PLC-UNSPON ADR,
124,3I GROUP PLC,UNCONFIRMED,45145440,III,STK,LSE,GBP,,LSE,,,,3I GROUP PLC,
125,3I GROUP PLC,UNCONFIRMED,453582485,IIIN,STK,MEXI,MXN,,MEXI,,,,3I GROUP PLC,
126,3I GROUP PLC,UNCONFIRMED,603513290,IGQ5,STK,FWB2,EUR,,FWB2,,,,3I GROUP PLC,
127,3I GROUP PLC,UNCONFIRMED,-1,,BOND,,,,,,,,3i Group PLC,e1443046
128,INTERROLL HOLDING AG,UNCONFIRMED,6728950,INRN,STK,EBS,CHF,,EBS,,,,INTERROLL HOLDING AG-REG,
129,INTERROLL HOLDING AG,UNCONFIRMED,225017273,I3H,STK,FWB,EUR,,FWB,,,,INTERROLL HOLDING AG-REG,
130,INTERROLL HOLDING AG,UNCONFIRMED,649136971,INRNY,STK,PINK,USD,,PINK,,,,INTERROLL HOLDING AG-ADR,
131,INTER PARFUMS INC,UNCONFIRMED,6857699,IPAR,STK,NASDAQ,USD,,NASDAQ,,,,INTER PARFUMS INC,
132,INTER PARFUMS INC,UNCONFIRMED,82633306,JF1,STK,FWB2,EUR,,FWB2,,,,INTER PARFUMS INC,
133,ITT INC,UNCONFIRMED,233010383,ITT,STK,NYSE,USD,,NYSE,,,,ITT INC,
134,ITT INC,UNCONFIRMED,298720923,2II,STK,FWB,EUR,,FWB,,,,ITT INC,
135,ITT INC,UNCONFIRMED,-1,,BOND,,,,,,,,ITT Inc,e3115592
136,KARDEX HOLDING AG,UNCONFIRMED,59676217,KARN,STK,EBS,CHF,,EBS,,,,KARDEX HOLDING AG-REG,
137,KARDEX HOLDING AG,UNCONFIRMED,82944845,KAX2,STK,FWB,EUR,,FWB,,,,KARDEX HOLDING AG-REG,
138,KFORCE INC,UNCONFIRMED,4817536,KFRC,STK,NASDAQ,USD,,NASDAQ,,,,KFORCE INC,
139,KFORCE INC,UNCONFIRMED,80343274,ROF,STK,FWB2,EUR,,FWB2,,,,KFORCE INC,
140,KLA CORP,UNCONFIRMED,270957,KLAC,STK,NASDAQ,USD,,NASDAQ,,,,KLA CORP,
141,KLA CORP,UNCONFIRMED,13064918,KLA,STK,FWB,EUR,,FWB,,,,KLA CORP,
142,KLA CORP,UNCONFIRMED,366267244,KLAC,STK,MEXI,MXN,,MEXI,,,,KLA CORP,
